userId,movieId,rating,timestamp
1,204,3.5,1668090664
1,267,4.0,1668412668
1,153,5.0,1671449442
1,10,2.5,1665746104
1,234,1.5,1675554415
1,227,2.5,1640237208
1,197,2.0,1663739005
1,110,4.5,1602232974
1,6,2.5,1649440148
1,176,2.5,1644458225
1,238,2.5,1614710878
1,58,4.0,1655907088
1,219,2.0,1678343175
1,46,4.0,1641295819
1,183,3.5,1684457912
1,222,2.5,1603576520
1,290,2.0,1680115852
1,212,2.0,1663698420
1,149,4.0,1635638891
1,166,3.5,1687991930
1,79,4.0,1677641510
1,114,4.0,1677528776
1,250,3.0,1630540334
1,251,2.0,1606892773
1,105,4.5,1678319168
1,43,3.5,1664484744
1,282,4.0,1622885741
1,296,4.5,1670361272
1,158,2.5,1684426338
1,239,3.5,1683179531
1,18,4.0,1651028283
1,165,2.0,1619834119
1,34,3.0,1632507072
1,25,3.0,1604237322
1,216,2.5,1676849080
1,120,3.5,1614749927
1,8,3.5,1625606639
1,91,2.5,1602541730
1,47,4.5,1659195194
1,74,3.5,1642103092
1,94,3.0,1656207740
1,77,2.5,1620324759
1,287,1.5,1655426567
1,61,1.5,1627365878
1,78,3.5,1655079923
1,64,2.0,1667353073
1,235,3.5,1682071195
1,230,2.0,1663297813
1,112,1.0,1608359252
1,232,4.0,1618533117
1,181,3.0,1669616482
1,145,2.5,1627828932
1,240,2.0,1675280948
1,76,2.5,1643627409
1,298,4.0,1688882576
1,279,2.5,1664205866
1,98,3.0,1670528349
1,93,1.5,1650576565
1,193,5.0,1642111160
1,26,5.0,1623244151
1,233,3.5,1661694994
1,60,5.0,1671555103
1,7,2.5,1645946354
2,198,3.0,1681883092
2,172,3.0,1664985553
2,209,2.5,1625805259
2,259,3.0,1633087238
2,206,4.0,1637447604
2,169,4.0,1674905122
2,258,3.0,1640063879
2,214,4.0,1630181142
2,85,3.0,1639945150
2,251,3.0,1638789478
2,50,3.5,1627820354
2,121,2.0,1665632882
2,87,2.0,1642552488
2,148,2.0,1664398125
2,187,3.0,1646815569
2,22,3.0,1675227370
2,64,2.5,1636702849
2,281,1.0,1638626436
2,60,2.5,1616357665
2,242,2.0,1676970753
2,131,3.5,1672905845
2,207,2.0,1650961690
2,265,4.5,1652953249
2,150,4.5,1646323191
2,82,2.5,1619659692
2,59,3.5,1638983895
2,66,3.0,1605646068
2,88,3.5,1638605090
2,289,3.0,1610607151
2,155,2.5,1646488123
2,40,3.5,1659374716
2,149,3.5,1688043078
2,282,4.0,1634419327
2,167,3.0,1664300930
2,196,2.0,1628720823
2,119,2.0,1627121108
2,132,5.0,1672286705
2,264,2.5,1636390817
2,156,3.0,1675432781
2,41,4.0,1636456416
2,249,3.0,1618424464
2,208,3.5,1614660143
2,26,3.5,1682634772
2,73,4.0,1678763056
2,68,3.0,1632115895
2,51,1.5,1632542167
2,276,4.5,1606813620
